family,n_trades,stub_cost,gross_pnl,breakeven_cost,safety_margin,trades_per_year,holding_days,pnl_0x,sharpe_0x,pnl_1x,sharpe_1x,pnl_2x,sharpe_2x,pnl_3x,sharpe_3x
outrights,789,0.02,-0.22636248415716118,-0.22636248415716118,-11.318124207858059,49.0940800681431,25,-0.22636248415716118,-0.4339491004797499,-0.24636248415716117,-0.4722901800182182,-0.2663624841571612,-0.5106312595566865,-0.28636248415716115,-0.5489723390951549
calendars,2793,0.01,0.11613319011815254,0.11613319011815254,11.613319011815253,191.36057962858752,25,0.11613319011815254,0.4607379560290405,0.10613319011815255,0.4210647191567656,0.09613319011815254,0.3813914822844906,0.08613319011815254,0.3417182454122157
cracks,271,0.03,-0.5987084870848708,-0.5987084870848708,-19.956949569495695,18.56738885762521,25,-0.5987084870848708,-0.49739085762375174,-0.6287084870848708,-0.5223140482091515,-0.6587084870848707,-0.5472372387945511,-0.6887084870848708,-0.5721604293799508
brent_wti,295,0.02,0.1376949152542373,0.1376949152542373,6.884745762711865,20.21552532833021,25,0.1376949152542373,0.2181680272423676,0.1176949152542373,0.18647941668771548,0.09769491525423729,0.15479080613306337,0.0776949152542373,0.12310219557841126
quarterly,768,0.01,0.09765625000000028,0.09765625000000028,9.765625000000028,47.787393526405445,25,0.09765625000000028,0.3192726852192611,0.08765625000000028,0.2865791622528089,0.07765625000000027,0.2538856392863566,0.06765625000000028,0.2211921163199044
semestral,722,0.015,0.22252077562326822,0.22252077562326822,14.834718374884549,44.92512776831346,25,0.22252077562326822,0.4766102949084914,0.2075207756232682,0.44448226370060534,0.19252077562326822,0.41235423249271935,0.17752077562326823,0.38022620128483325
yearly,356,0.02,-0.16199438202247113,-0.16199438202247113,-8.099719101123556,22.15144804088586,25,-0.16199438202247113,-0.11147360321817576,-0.18199438202247112,-0.1252362537282055,-0.20199438202247114,-0.13899890423823524,-0.22199438202247113,-0.15276155474826497
flies,150,0.02,-0.004666666666665913,-0.004666666666665913,-0.23333333333329567,9.335065598909525,25,-0.004666666666665913,0.001727773219317866,-0.024666666666665914,0.009132515587824202,-0.04466666666666591,0.016537257956330535,-0.06466666666666591,0.023942000324836874
