family,horizon,recommended,n_trades,n_long,n_short,win_rate,avg_pnl,total_pnl,sharpe,max_dd,trades_per_year
outrights,20,False,340,88,252,0.4235294117647059,-0.5381764705882347,-182.9799999999998,-0.3326414143224435,-344.38000000000005,24.40742924528302
outrights,25,False,335,79,256,0.43582089552238806,-0.3208955223880594,-107.4999999999999,-0.19869847954734965,-406.3700000000002,23.382142174660807
outrights,30,False,291,90,201,0.44673539518900346,-1.1401374570446727,-331.77999999999975,-0.42950400425656693,-434.20000000000005,20.32659208261618
calendars,20,True,1936,469,1467,0.5878099173553719,0.2100051652892562,406.57,0.5756953221570006,-136.57999999999987,161.8132723112128
calendars,25,True,1697,500,1197,0.5922215674720094,0.24025928108426636,407.72,0.6812100165360349,-123.14999999999998,140.9343451568895
calendars,30,True,1303,297,1006,0.59247889485802,0.2325633154259402,303.0300000000001,0.7214867304492136,-123.17000000000004,122.03096153846154
cracks,20,False,361,63,298,0.5235457063711911,-0.24379501385041558,-88.01000000000002,-0.26872928208878405,-244.20999999999992,33.83506543494996
cracks,25,False,271,43,228,0.4870848708487085,-0.6287084870848708,-170.38,-0.5223140482091515,-230.03999999999982,25.616653726708073
cracks,30,False,248,47,201,0.5201612903225806,-0.538467741935484,-133.54000000000002,-0.4099341367272941,-214.86999999999995,23.48509204044594
brent_wti,20,False,170,46,124,0.5294117647058824,0.006823529411764701,1.1599999999999993,-0.025781805870014798,-24.08,16.007347254447023
brent_wti,25,False,157,41,116,0.5796178343949044,0.16783439490445862,26.35,0.2307074220677154,-13.8,14.77944587628866
brent_wti,30,False,150,36,114,0.5866666666666667,0.23366666666666666,35.05,0.30796812925677713,-11.920000000000002,14.105947476828012
quarterly,20,True,393,211,182,0.5623409669211196,0.09005089058524182,35.390000000000036,0.3155546944748388,-25.79999999999999,27.834642233856894
quarterly,25,True,347,184,163,0.5504322766570605,0.09971181556195952,34.59999999999995,0.2659957334319298,-26.199999999999964,24.605270821199767
quarterly,30,True,299,161,138,0.5551839464882943,0.006488294314381923,1.940000000000195,-0.09928845817380912,-29.23999999999998,21.363409624413148
semestral,20,True,264,121,143,0.553030303030303,0.23159090909090907,61.13999999999999,0.3942081253075463,-20.59499999999997,18.716226708074533
semestral,25,True,286,156,130,0.5314685314685315,0.0708391608391606,20.25999999999993,0.10600723431012475,-37.570000000000036,20.275912267080745
semestral,30,True,240,127,113,0.5583333333333333,0.04229166666666613,10.14999999999987,0.022212537119536618,-37.11000000000009,17.178130511463845
yearly,20,False,148,78,70,0.5202702702702703,0.13587837837837827,20.109999999999985,0.18294110641724293,-29.099999999999945,10.492430124223603
yearly,25,False,123,70,53,0.5447154471544715,-0.17252032520325106,-21.21999999999988,-0.1897978498946734,-43.999999999999915,8.723446601941747
yearly,30,False,133,88,45,0.5338345864661654,-0.18646616541353347,-24.79999999999995,-0.15575167657321898,-54.59999999999994,9.52141317130537
flies,20,False,68,28,40,0.6029411764705882,0.10852941176470718,7.380000000000088,0.21707710829891608,-14.959999999999965,5.044069861900893
flies,25,False,86,37,49,0.37209302325581395,-0.1294186046511616,-11.129999999999898,-0.11020410923594492,-21.999999999999886,6.379264825345247
flies,30,False,80,33,47,0.5125,-0.24687499999999965,-19.74999999999997,-0.12804227668632887,-29.82999999999997,5.859234008421897
