family,feature,horizon,n_trades,win_rate,avg_pnl,n_long,win_long,pnl_long,n_short,win_short,pnl_short
outrights,level_z,25,512,0.517578125,0.49111328125000014,416,0.4879807692307692,0.3180288461538462,96,0.6458333333333334,1.241145833333334
calendars,level_z,25,5013,0.46858168761220825,-0.2463375224416517,2839,0.5001761183515322,-0.10790771398379705,2174,0.4273229070837167,-0.4271113155473781
cracks,level_z,25,609,0.48111658456486045,-0.629671592775041,74,0.581081081081081,0.9079729729729731,535,0.4672897196261682,-0.842355140186916
brent_wti,level_pct,25,258,0.562015503875969,-0.03306201550387592,94,0.574468085106383,-0.01734042553191491,164,0.5548780487804879,-0.04207317073170724
quarterly,level_z,25,534,0.4550561797752809,-0.12996254681647934,198,0.5151515151515151,-0.08979797979797965,336,0.41964285714285715,-0.1536309523809523
semestral,level_z,25,373,0.4932975871313673,-0.06146112600536188,194,0.5051546391752577,0.05536082474226849,179,0.48044692737430167,-0.18807262569832423
yearly,level_z,25,132,0.4090909090909091,-0.46265151515151426,52,0.4423076923076923,-0.5076923076923067,80,0.3875,-0.4333749999999994
flies,level_z,25,83,0.5421686746987951,-0.18614457831325376,28,0.6071428571428571,0.05285714285714281,55,0.509090909090909,-0.307818181818183
