family,feature,cluster,representative,max_abs_corr,ic_incremental,verdict
quarterly,vol_ratio,5,vol_ratio,,,representante
quarterly,er_20,6,er_20,,,representante
quarterly,slope_20,7,slope_20,,,representante
quarterly,macd_hist,8,macd_hist,,,representante
quarterly,level_pct,9,level_z,0.9647311249289466,-0.02797781403816933,redundante
quarterly,level_z,9,level_z,0.9647311249289466,,representante
semestral,keltner_dist_20,0,rsi_14,0.9662247319415159,0.0451199598188004,aporta
semestral,pctb_10_1_5,0,rsi_14,0.9999999999998944,0.03271822876406281,aporta
semestral,pctb_20_2,0,rsi_14,1.0,0.0524746128297524,aporta
semestral,rsi_14,0,rsi_14,0.9371143568947273,,representante
semestral,rsi_2,0,rsi_14,0.8560372144377424,0.015585945628481888,redundante
semestral,z_10,0,rsi_14,0.9999999999998944,0.03271822876406281,aporta
semestral,z_20,0,rsi_14,1.0,0.0524746128297524,aporta
semestral,z_50,0,rsi_14,0.9371143568947273,0.0405202224872437,aporta
semestral,rsi_div_14,1,rsi_div_14,,,representante
semestral,macd_div,2,macd_div,,,representante
semestral,mom_decel_10,3,mom_decel_10,,,representante
semestral,er_drop_20,4,er_drop_20,,,representante
semestral,vol_ratio,5,vol_ratio,,,representante
semestral,er_20,6,er_20,,,representante
semestral,slope_20,7,slope_20,,,representante
semestral,macd_hist,8,macd_hist,,,representante
semestral,level_pct,9,level_z,0.9678845901148172,-0.014091118580553641,redundante
semestral,level_z,9,level_z,0.9678845901148172,,representante
yearly,keltner_dist_20,0,rsi_14,0.9637723007135562,0.03365903278564791,aporta
yearly,pctb_10_1_5,0,rsi_14,0.9999999999978452,0.02281286109103684,redundante
yearly,pctb_20_2,0,rsi_14,0.9999999999993208,0.0467500248401074,aporta
yearly,rsi_14,0,rsi_14,0.9375610526070851,,representante
yearly,rsi_2,0,rsi_14,0.8577816650746727,-0.0003610299647148079,redundante
yearly,z_10,0,rsi_14,0.9999999999978452,0.02281286109103684,redundante
yearly,z_20,0,rsi_14,0.9999999999993208,0.0467500248401074,aporta
yearly,z_50,0,rsi_14,0.9375610526070851,0.07222614295966219,aporta
yearly,rsi_div_14,1,rsi_div_14,,,representante
yearly,macd_div,2,macd_div,,,representante
yearly,mom_decel_10,3,mom_decel_10,,,representante
yearly,er_drop_20,4,er_drop_20,,,representante
yearly,vol_ratio,5,vol_ratio,,,representante
yearly,er_20,6,er_20,,,representante
yearly,slope_20,7,slope_20,,,representante
yearly,macd_hist,8,macd_hist,,,representante
yearly,level_pct,9,level_z,0.9765097810344259,0.004659518183756728,redundante
yearly,level_z,9,level_z,0.9765097810344259,,representante
flies,keltner_dist_20,0,rsi_14,0.9690796273056107,0.020651178904743515,redundante
flies,pctb_10_1_5,0,rsi_14,1.0,0.028141064742382312,redundante
flies,pctb_20_2,0,rsi_14,1.0,0.031581391737494614,aporta
flies,rsi_14,0,rsi_14,0.9422863416968053,,representante
flies,rsi_2,0,rsi_14,0.8548049032374816,0.014666603366715481,redundante
flies,z_10,0,rsi_14,1.0,0.028141064742382312,redundante
flies,z_20,0,rsi_14,1.0,0.031581391737494614,aporta
flies,z_50,0,rsi_14,0.9347866524655696,-0.005248015149495703,redundante
flies,rsi_div_14,1,rsi_div_14,,,representante
flies,macd_div,2,macd_div,,,representante
flies,mom_decel_10,3,mom_decel_10,,,representante
flies,er_drop_20,4,er_drop_20,,,representante
flies,vol_ratio,5,vol_ratio,,,representante
flies,er_20,6,er_20,,,representante
flies,slope_20,7,slope_20,,,representante
flies,macd_hist,8,macd_hist,,,representante
flies,level_pct,9,level_z,0.9531259287409254,-0.0658169946935202,aporta
flies,level_z,9,level_z,0.9531259287409254,,representante
