family,feature,dimension,group,ic,n
semestral,level_z,vol,vol alta,-0.07624041839129686,8757
semestral,level_z,vol,vol baja,0.028700527801343658,10212
semestral,level_z,vol,vol media,-0.0100049548298152,9241
semestral,level_z,fase,lejana,-0.018249208691257002,10188
semestral,level_z,fase,media,-0.020474491900880635,12345
semestral,level_z,fase,próxima,-0.04690219161334079,8698
semestral,level_z,mes,1,0.18985182165135786,2550
semestral,level_z,mes,10,-0.2647507944417924,2699
semestral,level_z,mes,11,0.07944700574353965,2467
semestral,level_z,mes,12,0.2902769477446731,2512
semestral,level_z,mes,2,0.01907547158772315,2381
semestral,level_z,mes,3,-0.2004773293443769,2660
semestral,level_z,mes,4,-0.08057775603306766,2619
semestral,level_z,mes,5,-0.17620489585775131,2719
semestral,level_z,mes,6,0.0996741589450429,2724
semestral,level_z,mes,7,-0.033642196301037396,2714
semestral,level_z,mes,8,0.05180441313716228,2650
semestral,level_z,mes,9,-0.20718352676637286,2536
yearly,level_z,era,<2020,0.038696303002224444,9590
yearly,level_z,era,≥2020,-0.18617337905300768,7149
yearly,level_z,vol,vol alta,-0.022861894001130447,3568
yearly,level_z,vol,vol baja,-0.05824227357606606,5956
yearly,level_z,vol,vol media,0.02541489323671801,4428
yearly,level_z,fase,lejana,0.0078091220351943855,6000
yearly,level_z,fase,media,-0.012101238792703735,6902
yearly,level_z,fase,próxima,-0.051532499771105834,3837
yearly,level_z,mes,1,0.13143008262668168,1351
yearly,level_z,mes,10,-0.1736538970254581,1496
yearly,level_z,mes,11,0.36882961786669527,1154
yearly,level_z,mes,12,0.2591302217821621,1303
yearly,level_z,mes,2,0.032126238714309585,1354
yearly,level_z,mes,3,-0.18666687155828207,1519
yearly,level_z,mes,4,-0.17831461648239733,1511
yearly,level_z,mes,5,-0.17680742525870027,1353
yearly,level_z,mes,6,0.1370007466253888,1516
yearly,level_z,mes,7,0.18476618013358892,1438
yearly,level_z,mes,8,-0.05995010835567459,1385
yearly,level_z,mes,9,-0.36493070118188115,1359
flies,level_z,era,<2020,-0.020132315931774128,2858
flies,level_z,era,≥2020,-0.1432785848563837,3000
flies,level_z,vol,vol alta,-0.12834699539348482,1542
flies,level_z,vol,vol baja,0.0034668767445913597,2214
flies,level_z,vol,vol media,-0.07958516995845222,1603
flies,level_z,fase,lejana,-0.021711172333883536,1832
flies,level_z,fase,media,-0.045642797615298665,2331
flies,level_z,fase,próxima,-0.10361094740277611,1695
flies,level_z,mes,1,0.24132397336141362,552
flies,level_z,mes,10,-0.19777778203265528,447
flies,level_z,mes,11,0.09960713267916045,356
flies,level_z,mes,12,0.16017928817971933,536
flies,level_z,mes,2,0.018925188102359162,532
flies,level_z,mes,3,-0.3524756309476836,609
flies,level_z,mes,4,-0.08435700817485484,460
flies,level_z,mes,5,-0.2896477753826219,355
flies,level_z,mes,6,-0.06211729871594085,467
flies,level_z,mes,7,-0.04880560951273036,502
flies,level_z,mes,8,0.06362945092807254,516
flies,level_z,mes,9,-0.15714907114790408,526
