family,feature,regime,horizon,n_vintages,n_folds,n_obs_test,ic_mean,ic_std,ic_t,ic_ci_low,ic_ci_high,gross_spread,net_spread,monotonicity,bucket_profile,bucket_edges,p_reversion,p_continuation,n_trades,win_rate,avg_pnl,sharpe,mfe_mean,mae_mean,confidence,sign_consistency
outrights,z_10,range,20,23,19,16060,-0.028617210751109116,0.10422989127930506,-1.196773096268762,-0.07548468566932676,0.018250264167108524,0.39854859257406894,0.3785485925740689,-0.7,"[0.2555, 0.2045, 0.6457, 0.1887, -0.143]","[-2.6929, -1.0987, -0.3416, 0.4165, 1.1121, 2.6912]",0.5020900321543408,0.4979099678456592,1504,0.5219414893617021,0.36770611702127687,0.26310768826007436,3.2632712765957446,-2.7212699468085106,18.132925701041845,0.5263157894736842
outrights,z_10,trend,20,23,17,14642,-0.1268042132416386,0.19272783516790568,-2.7127745429876864,-0.2184212105317594,-0.03518721595151779,1.0165133303330878,0.9965133303330878,-0.8999999999999998,"[0.6758, 0.0808, -0.224, -0.5543, -0.3407]","[-2.7417, -1.1997, -0.1504, 0.911, 1.4351, 2.6874]",0.4996821360457724,0.5003178639542276,1357,0.47015475313190863,-0.3594399410464258,-0.2697616406352295,2.9835740604274132,-3.165195283714075,54.255490859753735,0.7058823529411765
outrights,z_20,range,20,23,19,16060,6.509173331015194e-05,0.19922059108688173,0.0014241915758352328,-0.089515410955085,0.0896455944217053,-0.33972149071223173,-0.35972149071223175,0.3,"[-0.2393, 0.416, 0.2396, 0.5742, 0.1004]","[-3.0913, -0.8989, -0.2661, 0.3468, 0.9435, 3.2232]",0.44871585146409293,0.551284148535907,1452,0.4758953168044077,-0.2560468319559226,-0.18237781653601368,2.878477961432507,-3.229331955922865,0.021578660239927768,0.5263157894736842
outrights,z_20,trend,20,23,17,14642,-0.14103213792199,0.2210619145099784,-2.630441351908201,-0.24611830155250575,-0.03594597429147421,1.3632901294929685,1.3432901294929684,-0.7,"[0.9355, 0.0735, -0.4599, -0.4711, -0.4278]","[-3.9876, -1.4802, -0.2827, 1.1689, 1.6582, 3.4796]",0.5025332488917036,0.4974667511082964,1277,0.45888801879404856,-0.46363351605324976,-0.3496456336840434,2.859240407204385,-3.2874784651527014,56.99289595801102,0.7647058823529411
outrights,z_50,range,20,22,18,14265,0.12115574556237146,0.1406731504304005,3.654004293132724,0.056168065676899956,0.18614342544784296,-1.8007830848675432,-1.8207830848675433,0.8999999999999998,"[-0.4199, 0.2265, -0.0401, 0.3966, 1.3809]","[-3.0164, -0.7106, -0.2093, 0.32, 0.8302, 2.5537]",0.40741413774304924,0.5925858622569508,1158,0.5587219343696027,0.8002331606217618,0.5593582054184288,3.624602763385147,-2.721485319516407,71.42857142857143,0.8333333333333334
outrights,z_50,trend,20,22,17,12840,-0.11925210880766729,0.2802444205795265,-1.7545007307367002,-0.2524718499957401,0.013967632380405548,1.4615178108774272,1.4415178108774271,-0.8999999999999998,"[0.8918, 0.4479, -0.3992, -0.5902, -0.5697]","[-4.431, -1.804, -0.5198, 1.5055, 1.9343, 4.9224]",0.49815692469720907,0.5018430753027909,935,0.453475935828877,-0.36937967914438474,-0.2648816769630592,2.882470588235294,-3.3648235294117645,29.24167884561167,0.5882352941176471
outrights,pctb_20_2,range,20,23,19,16060,6.509173331015194e-05,0.19922059108688173,0.0014241915758352328,-0.089515410955085,0.0896455944217053,-0.33972149071223173,-0.35972149071223175,0.3,"[-0.2393, 0.416, 0.2396, 0.5742, 0.1004]","[-0.2728, 0.2753, 0.4335, 0.5867, 0.7359, 1.3058]",0.44871585146409293,0.551284148535907,1452,0.4758953168044077,-0.2560468319559226,-0.18237781653601368,2.878477961432507,-3.229331955922865,0.021578660239927768,0.5263157894736842
outrights,pctb_20_2,trend,20,23,17,14642,-0.14103213792199,0.2210619145099784,-2.630441351908201,-0.24611830155250575,-0.03594597429147421,1.3632901294929685,1.3432901294929684,-0.7,"[0.9355, 0.0735, -0.4599, -0.4711, -0.4278]","[-0.4969, 0.1299, 0.4293, 0.7922, 0.9146, 1.3699]",0.5025332488917036,0.4974667511082964,1277,0.45888801879404856,-0.46363351605324976,-0.3496456336840434,2.859240407204385,-3.2874784651527014,56.99289595801102,0.7647058823529411
outrights,pctb_10_1_5,range,20,23,19,16060,-0.028617210751109116,0.10422989127930506,-1.196773096268762,-0.07548468566932676,0.018250264167108524,0.39854859257406894,0.3785485925740689,-0.7,"[0.2555, 0.2045, 0.6457, 0.1887, -0.143]","[-0.3976, 0.1338, 0.3861, 0.6388, 0.8707, 1.3971]",0.5020900321543408,0.4979099678456592,1504,0.5219414893617021,0.36770611702127687,0.26310768826007436,3.2632712765957446,-2.7212699468085106,18.132925701041845,0.5263157894736842
outrights,pctb_10_1_5,trend,20,23,17,14642,-0.1268042132416386,0.19272783516790568,-2.7127745429876864,-0.2184212105317594,-0.03518721595151779,1.0165133303330878,0.9965133303330878,-0.8999999999999998,"[0.6758, 0.0808, -0.224, -0.5543, -0.3407]","[-0.4139, 0.1001, 0.4499, 0.8037, 0.9784, 1.3958]",0.4996821360457724,0.5003178639542276,1357,0.47015475313190863,-0.3594399410464258,-0.2697616406352295,2.9835740604274132,-3.165195283714075,54.255490859753735,0.7058823529411765
outrights,keltner_dist_20,range,20,23,19,16060,0.017318213781360454,0.1826584078071787,0.41327604166610304,-0.06481502306107556,0.09945145062379646,-0.6668542669557594,-0.6868542669557595,0.7,"[-0.1872, 0.2206, 0.2739, 0.1879, 0.4797]","[-5.0603, -1.1988, -0.3014, 0.4731, 1.3196, 4.9804]",0.4484611626770884,0.5515388373229115,1458,0.4890260631001372,0.08427983539094669,0.059149559142410914,3.116131687242798,-2.9818312757201646,6.261758207062167,0.5263157894736842
outrights,keltner_dist_20,trend,20,23,17,14642,-0.1927446021389098,0.24199652343041786,-3.283957728487292,-0.30778244714986913,-0.07770675712795044,2.0699901941809995,2.0499901941809995,-0.9999999999999999,"[1.0735, 0.6578, 0.0014, -0.3707, -0.9965]","[-8.1035, -3.8548, -0.771, 2.9157, 4.2213, 8.0903]",0.5185420977240172,0.48145790227598284,1089,0.45454545454545453,-0.6672451790633608,-0.4818418881213208,2.6572451790633607,-3.581698806244261,60.00000000000001,0.7058823529411765
outrights,rsi_2,range,20,23,19,16060,-0.02330343850482983,0.08159805981532736,-1.2448498617425159,-0.05999440090372657,0.013387523894066913,0.31746515406279474,0.2974651540627947,-0.7,"[0.2753, 0.4374, 0.2784, 0.1892, -0.0421]","[0.0455, 17.9193, 40.4483, 64.1567, 83.5168, 99.9606]",0.4913440352533837,0.5086559647466162,1511,0.5155526141628061,0.20916611515552633,0.16235042943561334,3.0800727994705492,-2.840833884844474,24.51977000401925,0.6842105263157895
outrights,rsi_2,trend,20,23,17,14642,-0.12009286975507505,0.1534509763551207,-3.226799846081237,-0.19303883354201556,-0.04714690596813455,1.138240588673551,1.118240588673551,-0.9999999999999999,"[0.5661, 0.0046, -0.1381, -0.2391, -0.5721]","[0.0134, 17.6716, 44.5529, 70.8229, 90.6225, 99.9996]",0.5107048748353096,0.4892951251646904,1365,0.45787545787545786,-0.4044908424908424,-0.3096755692332136,2.8160293040293043,-3.2164102564102564,70.0,0.8235294117647058
outrights,rsi_14,range,20,23,19,16060,0.027424612258705097,0.22247673294605716,0.5373196190833439,-0.07261312713886649,0.12746235165627667,-0.9914644913160252,-1.0114644913160251,0.9999999999999999,"[-0.2305, 0.0089, 0.2722, 0.2971, 0.761]","[14.2621, 45.1009, 48.868, 51.994, 55.6985, 78.3179]",0.43791592273981494,0.562084077260185,1423,0.5024595924104006,0.26054111033028854,0.1804354586630368,3.118088545326775,-2.9855375966268447,9.76944761969716,0.631578947368421
outrights,rsi_14,trend,20,23,17,14642,-0.2167926050178122,0.24187612244701295,-3.6955231475445194,-0.331773215034352,-0.10181199500127244,2.232778147344452,2.212778147344452,-0.9999999999999999,"[1.3112, 0.9412, 0.0224, -0.4227, -0.9216]","[10.1588, 31.9815, 44.8172, 63.6984, 69.71, 95.8216]",0.5164529584427623,0.4835470415572377,985,0.44060913705583754,-0.7514010152284261,-0.5175794552677114,2.6179898477157364,-3.5746700507614215,65.0,0.7647058823529411
outrights,rsi_div_14,range,20,22,18,11778,-0.17123317581095765,0.2916114787872326,-2.491262832661941,-0.30595080583752,-0.03651554578439534,2.9644978693777495,2.9444978693777495,-0.9999999999999999,"[1.3522, 1.2672, 0.3431, -0.5511, -1.6123]","[-2.0804, -0.4531, -0.1186, 0.1489, 0.4757, 2.7238]",0.5608388704318937,0.43916112956810627,906,0.5342163355408388,0.6983995584988968,0.4696996847248792,3.6038189845474613,-2.908565121412803,55.36139628137647,0.7777777777777778
