family,primary,confirmator,p_bucket,c_bucket,mean_fwd,n
yearly,level_z,z_20,3,2,0.5330929989550679,957
yearly,level_z,z_20,3,3,1.4949072929542646,809
yearly,level_z,z_20,4,1,0.32234817813765176,741
yearly,level_z,z_20,4,2,0.030669800235017402,851
yearly,level_z,z_20,4,3,-0.05187908496732047,1224
yearly,level_z,z_20,5,1,0.3573598820058996,678
yearly,level_z,z_20,5,2,0.05552570093457949,856
yearly,level_z,z_20,5,3,-0.41346843335931394,1283
flies,level_z,z_20,1,1,-0.17930635838150277,519
flies,level_z,z_20,1,2,0.09419161676646702,334
flies,level_z,z_20,1,3,0.04598214285714249,224
flies,level_z,z_20,2,1,0.13201814058956932,441
flies,level_z,z_20,2,2,0.028096446700507743,394
flies,level_z,z_20,2,3,-0.03789256198347064,242
flies,level_z,z_20,3,1,-0.12238372093023166,344
flies,level_z,z_20,3,2,0.19064599483204123,387
flies,level_z,z_20,3,3,0.13431884057970966,345
flies,level_z,z_20,4,1,0.027703180212014473,283
flies,level_z,z_20,4,2,0.26441011235955014,356
flies,level_z,z_20,4,3,0.4849771689497712,438
flies,level_z,z_20,5,1,-0.1365865384615407,208
flies,level_z,z_20,5,2,-0.2999380804953569,323
flies,level_z,z_20,5,3,-0.11855311355311426,546
