family,regime,occupancy,mean_run,mean_fwd,std_fwd,abs_fwd,up_rate,n
outrights,range,0.33333931519632476,6.749340511440107,0.5421740677061718,5.510964092863568,4.255922807849648,0.5591391474476789,18575
outrights,dead,0.33332136960735054,3.7879832023258317,0.336219541328237,5.76148171654022,4.305163640707119,0.549988055422838,18574
outrights,trend,0.33333931519632476,13.290174966352625,-0.36269627851140457,5.745642122735746,4.383661464585835,0.5021008403361344,18575
calendars,range,0.33333769937816604,6.499061858404471,0.03996150866948697,1.545012327742698,0.8535712327950902,0.5095036644223321,101797
calendars,dead,0.3333180521764188,3.6833806525134833,0.07038827333682059,1.8899882920663311,0.9475391126539541,0.5107113985448666,101791
calendars,trend,0.33334424844541516,12.417970706981405,-0.0076213486147196675,2.035798927400603,1.0015217444091007,0.4958235194133502,101799
cracks,range,0.3333333333333333,6.338368836459305,0.3084870559228959,3.9845337900736135,2.654339347752998,0.5325563151406477,11783
cracks,dead,0.3333333333333333,3.5406093524569293,0.6211731283422459,4.580958203969284,2.883875891265597,0.5522504456327986,11783
cracks,trend,0.3333333333333333,11.846134261223797,0.7783333333333334,4.454910119988148,2.992648371262829,0.5785363676929942,11783
brent_wti,range,0.3333333333333333,6.934494270504376,-0.07981332048657112,1.2154133885095604,0.7622076357942913,0.46922798988317477,11083
brent_wti,dead,0.33327318114830523,3.807688836747586,-0.03687777230162642,1.3536690690796205,0.8532873336619025,0.5007392804337112,11081
brent_wti,trend,0.33339348551836145,12.6106450157871,0.12399728327982219,1.555985876355435,0.9913151395406272,0.5508767596937515,11085
quarterly,range,0.33336111342611885,3.797,0.0048391239691766876,0.9165441791943238,0.6227558469649858,0.5018926591861566,16000
quarterly,dead,0.33329860821735147,2.5497905857348253,-0.014975676601575916,1.0839657894490877,0.6695573826652963,0.481466255566975,15997
quarterly,trend,0.3333402783565297,10.598474904681543,-0.018259472386219305,1.4485053985469716,0.8215088558403707,0.4848666018982139,15999
semestral,range,0.33334932476192763,4.376268259336547,0.03664019693480502,1.571243289703842,1.1073922020169935,0.5116334471531804,13897
semestral,dead,0.3333013504761448,2.7922993882691616,0.006100470702808047,1.7491380308469249,1.1612213926310664,0.49350754747605907,13895
semestral,trend,0.33334932476192763,10.865150751960854,-0.015116782006920371,2.2337504089654017,1.3388451557093426,0.4790657439446367,13897
yearly,range,0.3333333333333333,4.6115174735864395,0.07473728339854667,2.6160870702639745,1.961567915036333,0.5254332029066517,8613
yearly,dead,0.3333333333333333,2.840705909671427,0.05337030716723563,2.8053524466853994,2.010227531285552,0.5126564277588168,8613
yearly,trend,0.3333333333333333,11.034598862185069,-0.005761225096639838,3.2419044669555803,2.009180790960452,0.4857270294380018,8613
flies,range,0.33337617272844106,3.733230531996916,0.07481369150779862,1.4809778426979765,0.9435831889081455,0.5125649913344887,2594
flies,dead,0.33324765454311783,2.3937524103355186,-0.009797413793103272,1.4355774230736726,0.9534698275862074,0.4991379310344828,2593
flies,trend,0.33337617272844106,10.134926754047802,-0.057568786648624255,2.3865381136201766,1.3663824988723503,0.4596301308073974,2594
