family,group,feature,horizon,n_vintages,n_folds,n_obs_test,ic_mean,ic_std,ic_t,ic_ci_low,ic_ci_high,gross_spread,net_spread,monotonicity,bucket_profile,bucket_edges,p_reversion,p_continuation,n_trades,win_rate,avg_pnl,sharpe,mfe_mean,mae_mean,confidence,sign_consistency,ic_p,ic_q,sig_fdr
outrights,ALL,z_10,20,23,19,47583,-0.06371340517778558,0.1364269316509693,-2.035670605195021,-0.1250584350808411,-0.0023683752747300432,0.34115944860023345,0.32115944860023343,-0.7,"[0.3, 0.0729, 0.3867, -0.0109, -0.0411]","[-2.7417, -1.1082, -0.2428, 0.6262, 1.2769, 2.7103]",0.488782891288395,0.511217108711605,2244,0.4946524064171123,-0.22115864527629203,-0.3416728267556956,2.9609714795008912,-3.062040998217469,40.096542223538286,0.6842105263157895,0.05677631061630009,0.23737203363485088,False
outrights,ALL,z_10,25,23,19,46638,-0.06995657993099606,0.159328876548807,-1.9138631298986628,-0.14159958016582078,0.0016864203038286507,0.4416510903252363,0.4216510903252363,-0.49999999999999994,"[0.384, 0.1039, 0.4984, 0.1769, -0.0576]","[-2.7417, -1.1103, -0.2457, 0.6252, 1.277, 2.7103]",0.49708384611268663,0.5029161538873134,1797,0.46967167501391205,-0.4988258208124649,-0.6156706487013546,3.1608013355592655,-3.7162604340567613,34.797511452702956,0.631578947368421,0.07167500405849841,0.24970646575218802,False
outrights,ALL,z_10,30,23,19,45697,-0.0641310770104264,0.14329425304644516,-1.9508171324796064,-0.12856403120571142,0.0003018771848586066,0.38548861987602434,0.3654886198760243,-0.49999999999999994,"[0.4048, 0.228, 0.572, 0.3557, 0.0193]","[-2.7417, -1.1104, -0.2455, 0.627, 1.2777, 2.6912]",0.5046321525885559,0.49536784741144413,1500,0.504,-0.06553333333333304,-0.015566793515863948,3.962413333333333,-3.7822,35.469402408720114,0.631578947368421,0.06682320505012189,0.244640886285192,False
outrights,ALL,z_20,20,23,19,45697,-0.07798612521293576,0.21826130092711807,-1.5574618008668757,-0.17612837520730285,0.020156124781431334,0.1824154603435623,0.1624154603435623,-0.49999999999999994,"[0.1928, 0.0812, 0.4006, 0.1055, 0.0104]","[-3.9876, -1.1562, -0.2307, 0.6712, 1.358, 3.4796]",0.4735576923076923,0.5264423076923077,2005,0.4937655860349127,-0.08898254364089743,-0.051801469541383004,3.030783042394015,-3.140827930174563,30.6772778958627,0.6842105263157895,0.13676872730777595,0.3229185887260768,False
outrights,ALL,z_20,25,22,19,44760,-0.08287723573195932,0.2245452651055885,-1.6088225913191077,-0.18384510062342185,0.0180906291595032,0.26709891751945614,0.24709891751945615,-0.19999999999999998,"[0.2076, 0.1719, 0.5784, 0.2883, -0.0595]","[-3.9876, -1.1594, -0.232, 0.6718, 1.3595, 3.4796]",0.48346331189161496,0.516536688108385,1658,0.5162846803377563,0.021827503015681784,0.126275451698589,3.448268998793728,-3.4916465621230395,29.25131984216559,0.631578947368421,0.1250531482768578,0.3196624855361099,False
outrights,ALL,z_20,30,22,19,43825,-0.07402963152547459,0.1914894803384612,-1.6851457431329395,-0.16013380285974213,0.012074539808792945,0.2274591139895867,0.20745911398958672,-0.09999999999999999,"[0.1674, 0.3144, 0.7271, 0.5433, -0.06]","[-3.9876, -1.161, -0.2291, 0.6767, 1.3629, 3.4796]",0.4886159550431609,0.5113840449568391,1387,0.48954578226387885,-0.21088680605623603,-0.17223395723545257,3.8290987743330938,-3.895255948089401,25.532511259589988,0.5263157894736842,0.10921861492434248,0.2930586437721488,False
outrights,ALL,z_50,20,22,19,40100,-0.08003209749023914,0.27715135005171176,-1.2587051267636176,-0.20465454300628672,0.04459034802580844,0.582146354627211,0.562146354627211,-0.6,"[0.561, -0.0068, 0.0391, 0.5326, -0.0212]","[-4.431, -1.1671, -0.2354, 0.7213, 1.482, 4.9224]",0.47240881411262475,0.5275911858873752,1528,0.5392670157068062,0.5373821989528799,0.47760148767937455,3.4748821989528795,-2.7681020942408376,15.257031839559,0.42105263157894735,0.224217809457476,0.4104326003628374,False
outrights,ALL,z_50,25,22,19,39174,-0.08811020442250742,0.3043564961369103,-1.2618869051497266,-0.22496557550477067,0.04874516665975584,0.6443509325836013,0.6243509325836013,-0.3,"[0.5936, 0.1488, 0.2142, 0.7436, -0.0507]","[-4.431, -1.1712, -0.2399, 0.7228, 1.4847, 4.9224]",0.48243424841620275,0.5175657515837973,1279,0.5613760750586395,1.0198827208756844,0.9050650626828741,4.0494057857701335,-3.050734949179046,17.20754870658718,0.47368421052631576,0.22309658814845085,0.4101179833197054,False
outrights,ALL,z_50,30,22,19,38249,-0.0729021176623028,0.2745800765953528,-1.1573052480730055,-0.19636837762788428,0.050564142303278686,0.3217017346804334,0.3017017346804334,-0.09999999999999999,"[0.4757, 0.3305, 0.5262, 0.9279, 0.154]","[-4.431, -1.175, -0.2416, 0.7255, 1.4867, 4.9224]",0.48150322959483266,0.5184967704051673,1105,0.5294117647058824,0.583927601809955,0.39005701838129353,4.444045248868778,-3.448506787330317,17.53492800110614,0.5263157894736842,0.2622751358358759,0.44523723289646583,False
outrights,ALL,pctb_20_2,20,23,19,45697,-0.07798612521293576,0.21826130092711807,-1.5574618008668757,-0.17612837520730285,0.020156124781431334,0.1824154603435623,0.1624154603435623,-0.49999999999999994,"[0.1928, 0.0812, 0.4006, 0.1055, 0.0104]","[-0.4969, 0.211, 0.4423, 0.6678, 0.8395, 1.3699]",0.4735576923076923,0.5264423076923077,2005,0.4937655860349127,-0.08898254364089743,-0.051801469541383004,3.030783042394015,-3.140827930174563,30.6772778958627,0.6842105263157895,0.13676872730777595,0.3229185887260768,False
